abraham	n		
absent	a,v		
absorb	v		
absurd	a,n		
acacia	n	forests	nature
academy	n		
accent	n,v		tech
accipiter	n	raptors	nature
acid	a,n		
acrobat	n		
action	n,v		tech
active	a,n		
actor	n		
adak	p	islands	nature
adam	n		
adams	n	mountains	nature
address	n,v		tech
adios	n		
admiral	n		nature
adrian	n		
adriatic	n	oceans	nature
aegean	a,n	oceans	nature
africa	n		
agatha	p		
agenda	n		tech
agent	n		
agung	p	volcanoes	nature
airline	n		
airport	n		
akutan	p	volcanoes	nature
alabama	n		nature
aladdin	n		
alamo	n		
alarm	n,v		tech
alaska	n		nature
albert	n		
albino	n		
alboran	p	oceans	nature
album	n		
alcatraz	p	islands	nature
alcohol	n		
alder	n	forests	nature
alert	a,n,v		tech
alex	p		
alfonso	p		
alfred	n		
algebra	n		
alias	n		
alibi	n,v		
alice	p		
alien	a,n,v		
almanac	n		
almond	n		nature
aloha	n		
alpha	a,n		tech
alpine	a	mountains	nature
alvord	p	deserts	nature
amadeus	p		
amalthea	p	moons	nature
amanda	p		
amargosa	p	deserts	nature
amazon	n	rivers	nature
amber	a,n	minerals	nature
ambient	a		
amelia	n	islands	nature
america	n		nature
amethyst	a,n	minerals	nature
amigo	n		
ammonia	n		
anagram	n,v		
anak	p	volcanoes	nature
analog	a,n		
analyze	v		
anatomy	n		
andaman	p	oceans	nature
andrea	p		
android	n		tech
andy	p		
angel	n		nature
animal	a,n		nature
anita	p		
annex	n,v		
annual	a,n		nature
answer	n,v		
antelope	n	canyons	nature
antenna	n		
antero	p	mountains	nature
antonio	p		
anvil	n		
apatite	n	minerals	nature
aplomado	p	raptors	nature
apollo	n		
appear	v		
apple	n		nature
april	n		
apropos	a		
aquila	n	raptors	nature
arafura	p	oceans	nature
arcade	n		
archer	n		nature
archive	n,v		
arctic	a,n	oceans	nature
arena	n		nature
ariel	p	moons	nature
arizona	n		nature
arkansas	n	rivers	nature
armada	n		
armani	p		
armor	n,v		nature
arnold	n		
aroma	n		
arrow	n		tech
arroyo	n	canyons	nature
arsenal	n		nature
arthur	n		
artist	n		
asgard	n	norse	nature
asia	n		
aspect	n		
aspen	n	forests	nature
aspirin	n		
atacama	p	deserts	nature
athena	n		
athlete	n		
atlanta	n		nature
atlantic	a,n	oceans	nature
atlas	n		
atomic	a		tech
audio	n		tech
august	a,n		
augustine	n	volcanoes	nature
aurora	n		
